player_id,player_name,recent_team,Pos
00-0036988,J.Palmer,LAC,WR
00-0036387,J.Reagor,PHI,WR
00-0033857,J.Smith-Schuster,PIT,WR
00-0036613,J.Waddle,MIA,WR
00-0034676,J.Washington,PIT,WR
00-0030279,K.Allen,LAC,WR
00-0033307,K.Bourne,NE,WR
00-0033932,K.Golladay,NYG,WR
00-0036412,K.Hamler,DEN,WR
00-0036382,K.Hill,LAC,WR
00-0036345,K.Osborn,MIN,WR
00-0032464,K.Raymond,DET,WR
00-0036913,K.Toney,NYG,WR
00-0036268,L.Shenault,JAX,WR
00-0035662,M.Brown,BAL,WR
00-0036219,M.Callaway,NO,WR
00-0031408,M.Evans,TB,WR
00-0034764,M.Gallup,DAL,WR
00-0030068,M.Goodwin,CHI,WR
00-0035140,M.Hardman,KC,WR
00-0029293,M.Jones,JAX,WR
00-0036252,M.Pittman,IND,WR
00-0029632,M.Sanu,SF,WR
00-0036482,M.Strachan,IND,WR
00-0035480,M.Taylor,GB,WR
00-0033114,M.Thomas,CIN,WR
00-0034272,M.Valdes-Scantling,GB,WR
00-0033536,M.Williams,LAC,WR
00-0031558,M.Williams,ARI,WR
00-0031549,N.Agholor,NE,WR
00-0036554,N.Collins,HOU,WR
00-0036182,N.Westbrook-Ikhine,TEN,WR
00-0035639,P.Campbell,IND,WR
00-0036277,Q.Cephus,DET,WR
00-0036271,Q.Watkins,PHI,WR
00-0032688,R.Anderson,CAR,WR
00-0028002,R.Cobb,GB,WR
00-0034411,R.Gage,ATL,WR
00-0036936,R.Moore,ARI,WR
00-0030431,R.Woods,LA,WR
00-0031588,S.Diggs,BUF,WR
00-0032385,S.Shepard,NYG,WR
00-0031325,S.Watkins,BAL,WR
00-0034930,T.Benson,DET,WR
00-0036410,T.Higgins,CIN,WR
00-0033040,T.Hill,KC,WR
00-0035457,T.Johnson,JAX,WR
00-0036427,T.Johnson,TB,WR
00-0032211,T.Lockett,SEA,WR
00-0036955,T.Marshall,CAR,WR
00-0035659,T.McLaurin,WAS,WR
00-0032200,T.Montgomery,NO,WR
00-0033375,T.Patrick,DEN,WR
00-0034487,T.Sherfield,SF,WR
00-0032160,T.Williams,DET,WR
00-0036415,V.Jefferson,LA,WR
00-0030663,W.Snead,LV,WR
00-0033891,Z.Jones,LV,WR
00-0033251,Z.Pascal,IND,WR
