Player,Team,Bye,Pos,Pos Rank,ADP,Rank
Diontae Johnson,PIT,7,WR,WR22,59.5,58
Chase Claypool,PIT,7,WR,WR28,69.3,72
JuJu Smith-Schuster,PIT,7,WR,WR30,79.5,78
Ben Roethlisberger,PIT,7,QB,QB20,161.8,155
Anthony McFarland Jr.,PIT,7,RB,RB71,153,236
Benny Snell Jr.,PIT,7,RB,RB72,222,239
Eric Ebron,PIT,7,TE,TE31,242.5,258
Pat Freiermuth,PIT,7,TE,TE33,235,278
Chris Boswell,PIT,7,K,K21,273,283
Kalen Ballage,PIT,7,RB,RB92,278,305
James Washington,PIT,7,WR,WR115,336,346
D.K. Metcalf,SEA,9,WR,WR4,18.3,18
Chris Carson,SEA,9,RB,RB18,31.3,32
Russell Wilson,SEA,9,QB,QB6,52,50
Tyler Lockett,SEA,9,WR,WR21,56.8,57
Rashaad Penny,SEA,9,RB,RB52,149.3,168
Jason Myers,SEA,9,K,K9,201.8,181
Gerald Everett,SEA,9,TE,TE22,205.3,201
George Kittle,SF,6,TE,TE2,27.5,26
Raheem Mostert,SF,6,RB,RB25,60.3,60
Brandon Aiyuk,SF,6,WR,WR24,64.8,66
Deebo Samuel,SF,6,WR,WR37,91.5,89
Trey Sermon,SF,6,RB,RB37,94.3,92
Trey Lance,SF,6,QB,QB19,151.8,150
Robbie Gould,SF,6,K,K13,217,208
Elijah Mitchell,SF,6,RB,RB73,167,244
Jeff Wilson Jr.,SF,6,RB,RB80,225,270
Wayne Gallman,SF,6,RB,RB83,243,282
Jimmy Garoppolo,SF,6,QB,QB34,277.5,302
Mike Evans,TB,9,WR,WR11,34.8,36
Chris Godwin,TB,9,WR,WR15,44,42
Tom Brady,TB,9,QB,QB9,75,74
Ronald Jones II,TB,9,RB,RB31,75,75
Leonard Fournette,TB,9,RB,RB33,78.8,77
Antonio Brown,TB,9,WR,WR39,100.3,98
Rob Gronkowski,TB,9,TE,TE10,103.3,103
Ryan Succop,TB,9,K,K8,180,166
Giovani Bernard,TB,9,RB,RB57,184.7,187
O.J. Howard,TB,9,TE,TE27,224,242
Scotty Miller,TB,9,WR,WR88,215,266
Ke'Shawn Vaughn,TB,9,RB,RB87,259,291
Derrick Henry,TEN,13,RB,RB3,3,3
A.J. Brown,TEN,13,WR,WR7,24,23
Julio Jones,TEN,13,WR,WR14,41,40
Ryan Tannehill,TEN,13,QB,QB10,84,81
Anthony Firkser,TEN,13,TE,TE21,194.3,196
Darrynton Evans,TEN,13,RB,RB67,231.3,226
Sam Ficken,TEN,13,K,K19,229,273
Josh Reynolds,TEN,13,WR,WR97,271,299
Tucker McCann,TEN,13,K,K31,345,355
Antonio Gibson,WAS,9,RB,RB12,17.8,17
Terry McLaurin,WAS,9,WR,WR10,34.5,34
Logan Thomas,WAS,9,TE,TE7,95.8,94
Curtis Samuel,WAS,9,WR,WR49,124.3,120
J.D. McKissic,WAS,9,RB,RB48,148.5,147
Ryan Fitzpatrick,WAS,9,QB,QB23,174,162
Jonathan Williams,WAS,9,RB,RB96,301,318
Antonio Gandy-Golden,WAS,9,WR,WR106,321,331
Dyami Brown,WAS,9,WR,WR110,328,338
Dustin Hopkins,WAS,9,K,K29,331,341
Cam Sims,WAS,9,WR,WR113,334,344
Todd Gurley II,FA,0,RB,RB88,263,294
Paxton Lynch,FA,0,QB,QB35,279,306
